codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,4.1,394.2,294.2,326.2
BR0002,2.7,400.0,301.4,291.4
BR0003,4.1,396.2,296.2,177.2
BR0004,2.7,400.0,301.4,250.4
BR0005,4.1,396.2,296.2,281.2
BR0006,4.1,394.2,294.2,296.2
BR0007,2.7,400.0,301.4,296.4
BR0008,2.7,400.0,297.4,199.4
BR0009,2.7,400.0,297.4,199.4
BR0010,4.1,396.2,296.2,177.2
BR0011,2.7,400.0,301.4,291.4
BR0012,2.7,400.0,299.4,219.4
BR0013,2.7,400.0,301.4,250.4
BR0014,2.7,400.0,297.4,250.4
BR0015,2.7,400.0,297.4,250.4
BR0016,2.7,400.0,297.4,250.4
BR0017,2.7,400.0,301.4,250.4
BR0018,4.1,394.2,294.2,296.2
BR0019,2.5,398.0,260.0,265.0
BR0020,2.7,398.4,260.4,219.4
BR0021,2.7,398.4,260.4,219.4
BR0022,2.7,398.4,260.4,250.4
BR0023,2.7,398.4,260.4,199.4
BR0024,2.7,398.4,260.4,250.4
BR0025,2.7,400.0,297.4,199.4
BR0026,2.7,398.4,299.4,229.4
BR0027,4.1,394.2,294.2,179.2
BR0028,2.7,398.4,299.4,229.4
BR0029,4.1,394.2,294.2,179.2
BR0030,2.7,400.0,301.4,178.4
BR0031,4.1,396.2,296.2,177.2
BR0032,4.1,396.2,296.2,177.2
BR0033,2.7,400.0,297.4,199.4
BR0034,2.7,398.4,260.4,199.4
BR0035,2.7,400.0,301.4,224.4
BR0036,4.1,396.2,296.2,177.2
BR0037,2.7,398.4,260.4,250.4
BR0038,2.7,398.4,260.4,250.4
BR0039,2.7,398.4,260.4,250.4
BR0040,2.7,398.4,260.4,250.4
BR0041,2.7,398.4,260.4,250.4
BR0042,2.7,398.4,260.4,199.4
BR0043,2.7,398.4,260.4,153.4
BR0044,2.7,398.4,260.4,153.4
BR0045,4.6,384.2,191.2,161.2
BR0046,2.7,398.4,260.4,153.4
BR0047,2.7,398.4,260.4,153.4
BR0048,2.7,398.4,260.4,250.4
BR0049,2.7,398.4,260.4,250.4
BR0050,2.7,398.4,260.4,224.4
BR0051,2.7,398.4,260.4,250.4
BR0052,2.7,398.4,260.4,250.4
BR0053,2.7,398.4,260.4,224.4
BR0054,2.7,398.4,260.4,250.4
BR0055,2.7,398.4,260.4,250.4
BR0056,2.7,398.4,260.4,250.4
BR0057,2.7,398.4,260.4,250.4
BR0058,4.6,384.2,191.2,161.2
